Formule,Public,Activite,Accueil,Soins_Qualite,Competence_Personnel,Disponibilite_Personnel,Reconfort,Qualite_Restauration,Hygiene,Confort_Chambre,Services_Annexes,Satisfaction,PRIX_PENSION,Sexe,CSP
Accueil temporaire,Semi-valides,5,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,4,532,homme,Agriculteur
Chambre médicalisée,Dépendantes,2,3.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,4.0,4,217,femme,Cadre Moyen
Accueil temporaire,Semi-valides,5,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,6,33,homme,Ouvrier
Accueil temporaire,Valides,2,1.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,4,492,femme,Cadre Moyen
Accueil temporaire,Semi-valides,5,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,5,472,femme,Agriculteur
Chambre médicalisée,Dépendantes,4,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,3,590,femme,"Inactif, Autre"
Chambre médicalisée,Valides,4,2.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,4,395,homme,"Inactif, Autre"
Chambre Individuelle,Dépendantes,1,2.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,7,405,femme,"Inactif, Autre"
Accueil temporaire,Valides,3,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,5,319,femme,"Inactif, Autre"
Accueil temporaire,Semi-valides,3,2.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4,177,homme,Ouvrier
Chambre médicalisée,Valides,2,3.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,5,18,femme,Ouvrier
Maison d'hôte/Studio,Valides,4,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,5,892,femme,Prof.Interméd.
Chambre médicalisée,Semi-valides,4,3.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,6,147,femme,"Inactif, Autre"
Maison d'hôte/Studio,Valides,3,4.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,2,337,femme,Prof.Interméd.
Chambre Individuelle,Valides,5,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,6,470,femme,Cadre Supérieur
Chambre Individuelle,Semi-valides,2,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,7,655,homme,Ouvrier
Chambre Individuelle,Semi-valides,5,4.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,5,46,homme,Cadre Supérieur
Chambre médicalisée,Valides,4,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4,989,homme,Commerc.Artisan
Chambre médicalisée,Semi-valides,3,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,7,277,femme,Cadre Supérieur
Accueil temporaire,Semi-valides,4,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2,322,femme,Employé
Chambre Individuelle,Semi-valides,3,3.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,9,800,femme,Agriculteur
Chambre médicalisée,Valides,4,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,10,773,femme,Prof.Interméd.
Maison d'hôte/Studio,Dépendantes,4,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2,278,homme,Employé
Chambre Individuelle,Semi-valides,5,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,5,627,femme,Cadre Supérieur
Maison d'hôte/Studio,Semi-valides,5,4.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,5,262,homme,Agriculteur
Chambre Individuelle,Valides,4,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2,615,homme,Employé
Accueil temporaire,Semi-valides,3,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,2,620,femme,Ouvrier
Maison d'hôte/Studio,Dépendantes,2,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5,161,femme,Agriculteur
Chambre Individuelle,Dépendantes,2,3.0,3.0,1.0,4.0,3.0,1.0,2.0,4.0,3.0,5,735,femme,Ouvrier
Accueil temporaire,Semi-valides,4,3.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,6,635,femme,Cadre Moyen
Maison d'hôte/Studio,Semi-valides,4,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,6,26,homme,Ouvrier
Accueil temporaire,Dépendantes,3,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,5,966,homme,Prof.Interméd.
Maison d'hôte/Studio,Dépendantes,2,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5,717,homme,Employé
Chambre médicalisée,Valides,3,1.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,4.0,3,41,femme,Employé
Accueil temporaire,Valides,4,1.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,5,666,femme,Agriculteur
Chambre médicalisée,Semi-valides,2,3.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,5,702,homme,Commerc.Artisan
Chambre médicalisée,Dépendantes,4,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,4,169,homme,Cadre Moyen
Chambre médicalisée,Dépendantes,1,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,5,152,femme,Agriculteur
Accueil temporaire,Dépendantes,5,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5,848,homme,Cadre Moyen
Chambre Individuelle,Valides,2,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3,285,femme,Cadre Supérieur
Chambre Individuelle,Semi-valides,1,3.0,3.0,2.5,2.0,2.0,2.0,2.0,3.0,4.0,9,922,homme,Agriculteur
Accueil temporaire,Valides,1,1.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,6,862,homme,Cadre Moyen
Accueil temporaire,Valides,2,2.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,7,865,femme,Commerc.Artisan
Chambre médicalisée,Semi-valides,1,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,7,5,homme,Prof.Interméd.
Chambre Individuelle,Dépendantes,5,4.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,4,894,femme,Employé
Maison d'hôte/Studio,Valides,5,4.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4,525,femme,Employé
Chambre médicalisée,Dépendantes,3,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,7,836,femme,Prof.Interméd.
Chambre médicalisée,Semi-valides,1,1.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,7,37,homme,"Inactif, Autre"
Chambre Individuelle,Semi-valides,2,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,6,677,homme,Agriculteur
Chambre médicalisée,Semi-valides,2,2.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,7,365,femme,Cadre Moyen
Maison d'hôte/Studio,Valides,2,4.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,6,263,femme,Prof.Interméd.
Chambre Individuelle,Dépendantes,4,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4,736,femme,Prof.Interméd.
Maison d'hôte/Studio,Semi-valides,5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4,895,femme,Employé
Chambre médicalisée,Dépendantes,3,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,6,857,homme,Cadre Moyen
Accueil temporaire,Valides,5,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,6,481,homme,"Inactif, Autre"
Accueil temporaire,Dépendantes,2,4.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,7,736,homme,Cadre Supérieur
Maison d'hôte/Studio,Semi-valides,4,4.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,4.0,8,318,femme,Cadre Moyen
Accueil temporaire,Valides,1,1.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,5,2,femme,Ouvrier
Maison d'hôte/Studio,Valides,5,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4,595,femme,Agriculteur
Chambre Individuelle,Semi-valides,1,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,6,710,femme,Employé
Maison d'hôte/Studio,Semi-valides,5,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5,8,femme,Commerc.Artisan
Chambre Individuelle,Valides,5,3.0,3.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,6,503,femme,Ouvrier
Chambre Individuelle,Dépendantes,2,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,10,904,homme,Prof.Interméd.
Chambre médicalisée,Valides,2,3.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,7,258,homme,Employé
Chambre Individuelle,Semi-valides,1,3.0,2.0,2.5,3.0,2.0,2.0,2.0,4.0,3.0,5,724,femme,Agriculteur
Accueil temporaire,Dépendantes,5,3.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,7,634,femme,Prof.Interméd.
Chambre Individuelle,Valides,5,3.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,6,774,homme,Employé
Accueil temporaire,Semi-valides,1,1.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,6,196,homme,Employé
Accueil temporaire,Semi-valides,3,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,5,102,homme,Prof.Interméd.
Accueil temporaire,Dépendantes,4,1.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,1.0,7,688,homme,Cadre Moyen
Chambre médicalisée,Semi-valides,2,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3,106,homme,Employé
Accueil temporaire,Valides,2,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,5,381,femme,Ouvrier
Maison d'hôte/Studio,Semi-valides,1,3.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,6,820,homme,Cadre Supérieur
Accueil temporaire,Semi-valides,3,3.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,6,51,homme,Cadre Supérieur
Chambre Individuelle,Valides,1,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4,241,homme,Employé
Maison d'hôte/Studio,Dépendantes,4,4.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,8,940,homme,Commerc.Artisan
Accueil temporaire,Valides,1,1.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,6,580,femme,Employé
Chambre médicalisée,Semi-valides,5,2.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,5,391,homme,Prof.Interméd.
Maison d'hôte/Studio,Valides,1,4.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,6,318,homme,Cadre Moyen
Maison d'hôte/Studio,Valides,5,3.0,3.0,2.5,4.0,1.0,2.0,2.0,3.0,4.0,8,966,femme,Commerc.Artisan
Chambre médicalisée,Dépendantes,1,3.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,1.0,9,588,femme,Ouvrier
Accueil temporaire,Valides,2,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3,770,femme,Cadre Moyen
Accueil temporaire,Semi-valides,2,1.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,5,840,femme,Commerc.Artisan
Chambre Individuelle,Semi-valides,2,2.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,6,584,homme,Ouvrier
Chambre médicalisée,Valides,4,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2,203,femme,"Inactif, Autre"
Chambre Individuelle,Valides,1,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4,83,femme,Commerc.Artisan
Maison d'hôte/Studio,Semi-valides,2,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,6,369,homme,Cadre Moyen
Chambre Individuelle,Dépendantes,2,3.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,6,964,femme,Cadre Supérieur
Accueil temporaire,Semi-valides,5,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5,792,homme,Commerc.Artisan
Accueil temporaire,Semi-valides,3,2.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,8,80,homme,Prof.Interméd.
Chambre Individuelle,Dépendantes,2,3.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,7,607,femme,Cadre Supérieur
Maison d'hôte/Studio,Valides,3,3.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,4.0,3,880,homme,Employé
Maison d'hôte/Studio,Valides,5,3.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,8,142,femme,Cadre Moyen
Chambre Individuelle,Valides,1,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,6,748,homme,"Inactif, Autre"
Accueil temporaire,Valides,1,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,6,321,homme,Agriculteur
Accueil temporaire,Semi-valides,4,4.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3,234,homme,Agriculteur
Maison d'hôte/Studio,Semi-valides,4,3.0,2.0,2.5,2.0,1.0,3.0,2.0,4.0,4.0,6,674,femme,Agriculteur
Accueil temporaire,Semi-valides,5,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,8,691,femme,Ouvrier
Chambre Individuelle,Valides,1,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,7,613,femme,Cadre Moyen
Chambre Individuelle,Valides,5,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,5,478,femme,Cadre Supérieur
Chambre Individuelle,Dépendantes,5,2.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,5,851,femme,Employé
Maison d'hôte/Studio,Dépendantes,3,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,5,187,femme,Prof.Interméd.
